province,index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nova Scotia,Total Households (thousands),359.47,362.64,366.61,370.59,373.98,376.98,379.61,382.9,387.87,392.45,389.767,391.248,393.393,393.342,397.0,400.0,402.0,399.0,403.5,408.0,409.702
Nova Scotia,Energy Intensity (GJ/m2),0.902375,0.936063,0.946455,0.86491,0.808548,0.758872,0.758927,0.854226,0.845727,0.852252,0.842471,0.885657,0.777293,0.747198,0.701782,0.714779,0.640032,0.648119,0.661531,0.642459,0.615817
Nova Scotia,Energy Intensity (GJ/household),116.398691,121.577187,123.632495,114.061406,107.660316,102.020145,103.191065,117.185909,116.528349,117.778685,118.973025,126.498469,111.989882,109.341504,102.91881,105.153443,94.589638,97.496581,99.542143,96.721071,93.403992
Nova Scotia,Total GHG Emissions Excluding Electricity (Mt of CO2e),1.754631,1.871778,1.939201,1.773536,1.569954,1.427458,1.502533,1.802828,1.821772,1.85405,1.916314,2.087393,1.731219,1.556059,1.42021,1.455751,1.205529,1.237969,1.31887,1.304501,1.231841
Nova Scotia,GHG Intensity (tonne/TJ),41.934853,42.454767,42.784436,41.957301,38.992666,37.115829,38.356981,40.178491,40.306605,40.111647,41.325023,42.176133,39.295853,36.180168,34.759014,34.610171,31.703564,31.823459,32.836084,33.056977,32.190002
Nova Scotia,Heating Degree-Day Index ,0.936168,0.935428,0.97322,0.989298,1.016077,0.940301,0.82924,0.813354,0.987339,1.01849,0.890229,0.948495,0.832943,0.87076,0.981199,1.041304,0.960463,1.041304,0.958911,1.001672,0.869947
Nova Scotia,Cooling Degree-Day Index ,1.262877,1.840142,1.465364,1.731794,1.275311,2.293073,1.573712,0.829485,2.085258,2.136767,2.936057,1.746004,3.026643,2.68206,2.291297,2.714032,2.840142,2.714032,3.857904,2.582593,3.534636
Ontario,Total Energy Use (PJ),531.301673,516.353398,531.791073,564.24,550.919832,566.996129,525.514082,569.62472,572.324514,547.461175,540.833416,573.974755,532.098616,577.064951,578.606325,583.001161,540.529233,547.987922,611.239885,538.337209,511.747669
Ontario,Space Heating,344.741761,316.391267,332.694855,365.836448,352.282055,359.029792,324.917223,367.270563,376.66456,358.114494,337.049556,365.513647,322.333392,374.39162,386.505651,379.526214,342.540878,358.303112,401.799148,353.123479,314.631713
Ontario,Water Heating,93.548577,97.500247,97.089497,100.443764,100.109535,102.558862,101.490869,103.539099,101.281295,94.680198,95.548124,102.087878,97.875465,98.817547,93.106028,98.436769,92.204338,92.385084,106.76319,89.627963,90.640843
Ontario,Appliances,61.844149,63.890934,60.482749,61.946669,64.826506,60.616106,61.323493,60.695245,61.960848,64.432648,64.757269,64.090173,66.04803,66.719144,65.574317,66.903829,61.586904,62.230953,61.214456,62.164526,63.938434
Ontario,Lighting,20.451991,21.382765,20.348068,21.200074,21.947859,19.873763,19.639804,18.815994,19.18149,19.965009,20.447106,19.801048,20.203539,19.920597,19.216448,19.158054,17.298859,17.363281,16.581827,16.785963,17.356068
Ontario,Space Cooling,10.715195,17.188184,21.175903,14.813044,11.753877,24.917605,18.142692,19.30382,13.236321,10.268825,23.031361,22.482008,25.63819,17.216043,14.203881,18.976295,26.898253,17.705492,24.881263,16.635278,25.180611
Ontario,Total Floor Space (million m2),597.715,610.454,624.774,638.436,652.623,665.992,679.346,691.209,703.358,713.205,723.928,735.03,746.765,758.201,769.284,781.726,794.378,806.606,823.977,840.774,856.336
Ontario,Total Households (thousands),4290.9,4374.75,4450.24,4519.01,4590.99,4673.54,4736.82,4802.27,4878.3,4950.67,4962.134,5023.807,5097.0,5136.783,5196.0,5250.0,5322.0,5360.0,5445.5,5531.0,5596.218
Ontario,Energy Intensity (GJ/m2),0.888887,0.845851,0.851174,0.883785,0.844163,0.851355,0.773559,0.8241,0.813703,0.767607,0.747082,0.780886,0.712538,0.761098,0.752136,0.745787,0.680443,0.679375,0.741817,0.640288,0.597602
Ontario,Energy Intensity (GJ/household),123.820567,118.030378,119.497167,124.859206,120.000225,121.320483,110.942379,118.615721,117.320483,110.583249,108.992102,114.250956,104.394474,112.339748,111.356106,111.04784,101.565057,102.236553,112.246788,97.3309,91.445264
Ontario,Total GHG Emissions Excluding Electricity (Mt of CO2e),18.966631,17.922603,18.782034,20.205814,19.336361,20.137974,18.507621,20.438858,20.554946,19.147022,18.334079,19.93924,17.812344,19.911329,19.891806,20.043695,18.365606,18.91799,21.848254,18.426376,16.838989
Ontario,GHG Intensity (tonne/TJ),35.698421,34.709954,35.318445,35.810672,35.098321,35.516952,35.218125,35.881269,35.914845,34.97421,33.899678,34.73888,33.475644,34.504485,34.378826,34.380198,33.977082,34.52264,35.744156,34.228315,32.904867
Ontario,Heating Degree-Day Index ,0.936142,0.841644,0.893557,0.964072,0.930566,0.924018,0.826733,0.909955,0.935918,0.936684,0.849017,0.870448,0.789458,0.91546,0.995405,0.919828,0.882001,0.91991,0.921429,0.955985,0.840042
Ontario,Cooling Degree-Day Index ,1.002527,1.514334,1.928358,1.25202,0.904104,2.042585,1.451506,1.62762,1.063691,0.798296,1.717894,1.653662,1.8474,1.226289,1.028755,1.355501,2.091494,1.355046,1.977208,1.287805,1.888786
Prince Edward Island,Total Energy Use (PJ),5.822143,5.569047,5.237045,4.62,5.944417,5.777721,5.90744,7.706982,7.027369,7.482241,6.77426,7.721339,6.461122,5.639772,4.881885,4.198454,4.400507,4.759942,4.740328,5.002953,4.749
Prince Edward Island,Space Heating,3.76798,3.572282,3.642135,3.160742,4.209946,4.068994,4.074562,5.65195,5.04886,5.423004,4.69701,5.44237,4.38869,3.870751,3.493345,3.02375,3.153735,3.543507,3.475896,3.711128,3.426894
Prince Edward Island,Water Heating,1.312934,1.253027,1.228922,1.063067,1.341984,1.319517,1.437914,1.675359,1.596788,1.689112,1.698543,1.909345,1.681463,1.375412,1.029475,0.805329,0.881637,0.865184,0.879061,0.906338,0.895072
Prince Edward Island,Appliances,0.566504,0.566408,0.278741,0.301768,0.300944,0.300507,0.30638,0.295752,0.298802,0.290558,0.299085,0.294487,0.311459,0.316456,0.289711,0.299327,0.297923,0.286601,0.314076,0.319063,0.34947
Prince Edward Island,Lighting,0.172546,0.173125,0.08557,0.092333,0.089901,0.087127,0.086028,0.080253,0.079912,0.076578,0.075491,0.072415,0.074173,0.072699,0.064225,0.064327,0.062192,0.058868,0.062796,0.061333,0.067442
Prince Edward Island,Space Cooling,0.002178,0.004204,0.001676,0.002091,0.001642,0.001576,0.002556,0.003668,0.003008,0.00299,0.004131,0.002723,0.005337,0.004452,0.00513,0.005722,0.005021,0.005783,0.008499,0.005091,0.010122
Prince Edward Island,Total Floor Space (million m2),6.506,6.628,6.781,6.95,7.12,7.29,7.45,7.615,7.788,7.926,8.088,8.243,8.427,8.58,8.712,8.826,8.947,9.094,9.28,9.513,9.78
Prince Edward Island,Total Households (thousands),50.72,51.26,51.91,52.61,53.13,53.56,54.07,54.67,55.59,56.52,57.455,58.426,58.0,59.908,59.0,59.0,59.0,62.0,63.5,65.0,65.933
Prince Edward Island,Energy Intensity (GJ/m2),0.894939,0.840206,0.772256,0.664791,0.834864,0.792551,0.792956,1.012034,0.902329,0.943961,0.837575,0.936678,0.766727,0.657349,0.560334,0.475685,0.491867,0.52341,0.510791,0.525917,0.485582
Prince Edward Island,Energy Intensity (GJ/household),114.789885,108.64313,100.887013,87.816005,111.884379,107.873801,109.255414,140.972782,126.41427,132.38218,117.90549,132.155881,111.398659,94.140535,82.743822,71.160243,74.584862,76.773266,74.650834,76.968507,72.0281
Prince Edward Island,Total GHG Emissions Excluding Electricity (Mt of CO2e),0.297938,0.287951,0.304894,0.262367,0.33636,0.314721,0.314029,0.411663,0.377015,0.413599,0.377044,0.447582,0.365599,0.308934,0.264535,0.215525,0.221064,0.230595,0.220204,0.231933,0.213292
Prince Edward Island,GHG Intensity (tonne/TJ),51.17328,51.705561,58.218717,56.789446,56.584267,54.47147,53.158232,53.414261,53.64947,55.277426,55.658314,57.966902,56.584404,54.777747,54.187031,51.334258,50.236064,48.444893,46.453255,46.359271,44.913077
Prince Edward Island,Heating Degree-Day Index ,0.956906,0.947447,0.982553,0.983513,1.009704,0.948855,0.852301,0.997185,0.93898,0.972273,0.845092,0.902423,0.785074,0.830099,0.965917,1.012328,0.908288,1.012328,0.947767,0.961822,0.879196
Prince Edward Island,Cooling Degree-Day Index ,0.990971,1.816027,1.401806,1.557562,1.19526,1.267494,1.425508,1.393905,1.38149,1.457111,1.822799,1.10158,1.865688,1.512415,1.794582,1.831828,1.527088,1.831828,2.396163,1.384876,2.435666
