"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","4926","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","4740","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","5139","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Private transportation","Dollars","81","units","0","v54530225","1.1.2.24","4908","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","667","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","669","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","666","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","720","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","695","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","809","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","685","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","781","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Public transportation","Dollars","81","units","0","v54530226","1.1.2.25","793","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1498","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1393","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1417","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","2233","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1421","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1502","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1765","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1611","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Health care","Dollars","81","units","0","v54530227","1.1.2.26","1788","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1158","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1041","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1023","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1765","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1063","","","","0"
