"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2016A000210","Biomass","Percent","239","units","0","v107791216","2.44","5","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units","0","v107791219","2.47","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units","0","v107791219","2.47","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units","0","v107791219","2.47","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units","0","v107791219","2.47","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Propane","Percent","239","units","0","v107791219","2.47","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units","0","v107791220","2.48","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units","0","v107791220","2.48","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units","0","v107791220","2.48","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units","0","v107791220","2.48","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Other fuel","Percent","239","units","0","v107791220","2.48","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units","0","v95637351","2.1","24","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units","0","v95637351","2.1","17","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units","0","v95637351","2.1","17","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units","0","v95637351","2.1","20","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Forced air furnace","Percent","239","units","0","v95637351","2.1","14","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units","0","v95637352","2.2","25","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units","0","v95637352","2.2","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units","0","v95637352","2.2","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units","0","v95637352","2.2","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Electric forced air furnace","Percent","239","units","0","v95637352","2.2","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units","0","v95637353","2.3","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units","0","v95637353","2.3","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units","0","v95637353","2.3","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units","0","v95637353","2.3","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Natural gas forced air furnace","Percent","239","units","0","v95637353","2.3","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units","0","v95637354","2.4","63","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units","0","v95637354","2.4","58","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units","0","v95637354","2.4","71","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units","0","v95637354","2.4","76","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Oil forced air furnace","Percent","239","units","0","v95637354","2.4","77","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Biomass forced air furnace","Percent","239","units","0","v95637355","2.5","25","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Biomass forced air furnace","Percent","239","units","0","v95637355","2.5","36","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Biomass forced air furnace","Percent","239","units","0","v95637355","2.5","25","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Biomass forced air furnace","Percent","239","units","0","v95637355","2.5","22","E","","","0"
"2021","Newfoundland and Labrador","2016A000210","Biomass forced air furnace","Percent","239","units","0","v95637355","2.5","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Propane forced air furnace","Percent","239","units","0","v95637358","2.8","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Propane forced air furnace","Percent","239","units","0","v95637358","2.8","","F","","","0"
"2017","Newfoundland and Labrador","2016A000210","Propane forced air furnace","Percent","239","units","0","v95637358","2.8","","F","","","0"
"2019","Newfoundland and Labrador","2016A000210","Propane forced air furnace","Percent","239","units","0","v95637358","2.8","","F","","","0"
"2021","Newfoundland and Labrador","2016A000210","Propane forced air furnace","Percent","239","units","0","v95637358","2.8","","F","","","0"
"2013","Newfoundland and Labrador","2016A000210","Other fuel forced air furnace","Percent","239","units","0","v95637359","2.9","","F","","","0"
"2015","Newfoundland and Labrador","2016A000210","Other fuel forced air furnace","Percent","239","units","0","v95637359","2.9","","F","","","0"
